# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       4.799185880663e-01      -3.379408463418e-02      -3.037854547521e+02      -4.278520591753e+02       0.000000000000e+00      -3.377613062126e-02      -3.956558465107e+02       8.444032655315e-03       8.444032655315e-03      -1.310777901001e-06       4.889549055719e-01       5.093619860479e-01                      nan      -1.281793973062e-06       4.866426891395e-01 
       4.830196082354e-01      -3.346091292727e-02      -3.047473133989e+02      -4.291137109743e+02       0.000000000000e+00      -3.344313511329e-02      -3.968330860415e+02       8.360783778324e-03       8.360783778324e-03      -1.297805751006e-06       4.904333693792e-01       5.108750602247e-01                      nan      -1.269105087370e-06       4.880923863384e-01 
       4.861206285770e-01      -3.313418662310e-02      -3.057486143127e+02      -4.303786250316e+02       0.000000000000e+00      -3.311658130571e-02      -3.980192668301e+02       8.279145326428e-03       8.279145326428e-03      -1.285065844522e-06       4.919308881318e-01       5.123978433246e-01                      nan      -1.256642061659e-06       4.895528979823e-01 
       4.892216490879e-01      -3.281331698242e-02      -3.067749831512e+02      -4.316435108217e+02       0.000000000000e+00      -3.279588089975e-02      -3.992094250170e+02       8.198970224938e-03       8.198970224938e-03      -1.272543238419e-06       4.934377662474e-01       5.139242608830e-01                      nan      -1.244390850644e-06       4.910178097806e-01 
       4.923226697648e-01      -3.249783827498e-02      -3.078118451761e+02      -4.329060531482e+02       0.000000000000e+00      -3.248056853902e-02      -4.003993561959e+02       8.120142134755e-03       8.120142134755e-03      -1.260230494468e-06       4.949456342659e-01       5.154497657134e-01                      nan      -1.232344804529e-06       4.924821444782e-01 
       4.954236906047e-01      -3.218737527026e-02      -3.088452503559e+02      -4.341646106507e+02       0.000000000000e+00      -3.217026930706e-02      -4.015855024307e+02       8.042567326764e-03       8.042567326764e-03      -1.248124125954e-06       4.964473607177e-01       5.169708939985e-01                      nan      -1.220501111387e-06       4.939419911639e-01 
       4.985247116044e-01      -3.188152241841e-02      -3.098617834150e+02      -4.354169014421e+02       0.000000000000e+00      -3.186457796476e-02      -4.027638713645e+02       7.966144491191e-03       7.966144491191e-03      -1.236216599515e-06       4.979354931037e-01       5.184833716298e-01                      nan      -1.208852878884e-06       4.953927369726e-01 
       5.016257327611e-01      -3.157983657670e-02      -3.108493810660e+02      -4.366599581513e+02       0.000000000000e+00      -3.156305167453e-02      -4.039301301467e+02       7.890762918632e-03       7.890762918632e-03      -1.224493998239e-06       4.994023261030e-01       5.199819396843e-01                      nan      -1.197386784565e-06       4.968289376039e-01 
       5.047267540718e-01      -3.128182933988e-02      -3.117977731343e+02      -4.378899021194e+02       0.000000000000e+00      -3.126520233161e-02      -4.050794925972e+02       7.816300582903e-03       7.816300582903e-03      -1.212935669064e-06       5.008398732604e-01       5.214601600803e-01                      nan      -1.186082720522e-06       4.982441566564e-01 
       5.078277755336e-01      -3.098710139680e-02      -3.127002762464e+02      -4.391033985113e+02       0.000000000000e+00      -3.097063084742e-02      -4.062081861789e+02       7.742657711854e-03       7.742657711854e-03      -1.201521414866e-06       5.022421058322e-01       5.229125908538e-01                      nan      -1.174920864140e-06       4.996330676999e-01 
