# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  154       4.743855651955e+03       1.098498839539e+00       7.306798484430e-03      -4.776511923733e+01       7.218313761552e-08       2.442522812604e-04      -1.583317073918e-06 
  155       4.777264105645e+03       1.091672386279e+00       7.411241031606e-03      -4.768759440208e+01       7.175792904504e-08       2.423513162601e-04      -1.566826302061e-06 
  156       4.810421690780e+03       1.084453882271e+00       7.516647911476e-03      -4.758377523709e+01       7.133819157647e-08       2.404719842828e-04      -1.550020769125e-06 
  157       4.843316933010e+03       1.076857167275e+00       7.623022137429e-03      -4.745340711616e+01       7.092328894439e-08       2.386117483147e-04      -1.532872433688e-06 
  158       4.875938013158e+03       1.068896964420e+00       7.730366600314e-03      -4.729624932293e+01       7.051233127296e-08       2.367675391366e-04      -1.515349995347e-06 
  159       4.908272761149e+03       1.060588893711e+00       7.838684065684e-03      -4.711207536627e+01       7.010415817011e-08       2.349357329238e-04      -1.497418765599e-06 
  160       4.940308649936e+03       1.051949485545e+00       7.947977171033e-03      -4.690067329566e+01       6.969732131685e-08       2.331121285193e-04      -1.479040536863e-06 
  161       4.972033641160e+03       1.042995804811e+00       8.058248154334e-03      -4.666184447478e+01       6.929054213307e-08       2.312931317132e-04      -1.460184255480e-06 
  162       5.003438818901e+03       1.033744257492e+00       8.169498018447e-03      -4.639539911873e+01       6.888421521493e-08       2.294795343908e-04      -1.440859920314e-06 
  163       5.034515978312e+03       1.024211703863e+00       8.281727287197e-03      -4.610116096301e+01       6.847913504112e-08       2.276731923125e-04      -1.421088923918e-06 
  164       5.065256792709e+03       1.014415850023e+00       8.394936263480e-03      -4.577896907554e+01       6.807603747493e-08       2.258758549253e-04      -1.400893655840e-06 
  165       5.095652811416e+03       1.004375259616e+00       8.509125025264e-03      -4.542867816493e+01       6.767559352371e-08       2.240891580842e-04      -1.380297515226e-06 
  166       5.125695457610e+03       9.941093655486e-01       8.624293421596e-03      -4.505015888871e+01       6.727840289032e-08       2.223146166544e-04      -1.359324923430e-06 
  167       5.155376026171e+03       9.836384817119e-01       8.740441068608e-03      -4.464329816161e+01       6.688498731411e-08       2.205536169928e-04      -1.338001336611e-06 
  168       5.184685681528e+03       9.729838146969e-01       8.857567345522e-03      -4.420799946380e+01       6.649578369865e-08       2.188074093117e-04      -1.316353258329e-06 
  169       5.213615455504e+03       9.621674755147e-01       8.975671390655e-03      -4.374418314917e+01       6.611113702363e-08       2.170770999213e-04      -1.294408252139e-06 
