# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  139       4.217834636587e+03       1.142575864286e+00       0.000000000000e+00      -4.609082279079e+01       7.909130409528e-08       2.757987521706e-04      -1.803626629112e-06 
  140       4.253874135617e+03       1.142631493365e+00       0.000000000000e+00      -4.637168313826e+01       7.861186927795e-08       2.735138898330e-04      -1.790224466155e-06 
  141       4.289816994657e+03       1.142181901624e+00       0.000000000000e+00      -4.663160556366e+01       7.813738299198e-08       2.712636672784e-04      -1.776671287332e-06 
  142       4.325650884671e+03       1.141228750262e+00       0.000000000000e+00      -4.687014187150e+01       7.766626773417e-08       2.690435854063e-04      -1.762957859971e-06 
  143       4.361362891038e+03       1.139774352473e+00       0.000000000000e+00      -4.708685168625e+01       7.719647765909e-08       2.668481819616e-04      -1.749071865411e-06 
  144       4.396940538330e+03       1.137821774447e+00       0.000000000000e+00      -4.728130672869e+01       7.672617004859e-08       2.646725776646e-04      -1.735001109558e-06 
  145       4.432375003970e+03       1.135375122117e+00       0.000000000000e+00      -4.745310350496e+01       7.625594236918e-08       2.625174682053e-04      -1.720744030858e-06 
  146       4.467658199946e+03       1.132439307557e+00       0.000000000000e+00      -4.760185242798e+01       7.578697051307e-08       2.603847856265e-04      -1.706300444226e-06 
  147       4.502781758367e+03       1.129019976944e+00       0.000000000000e+00      -4.772717425620e+01       7.532033116520e-08       2.582761546577e-04      -1.691668203724e-06 
  148       4.537737025362e+03       1.125123524079e+00       0.000000000000e+00      -4.782870040773e+01       7.485699004501e-08       2.561928738999e-04      -1.676843093803e-06 
  149       4.572515054978e+03       1.120757103911e+00       0.000000000000e+00      -4.790607327459e+01       7.439778971083e-08       2.541358966845e-04      -1.661818718699e-06 
  150       4.607106603075e+03       1.115928646060e+00       0.000000000000e+00      -4.795894653681e+01       7.394343692109e-08       2.521058116065e-04      -1.646586389983e-06 
  151       4.641502121223e+03       1.110646868339e+00       0.000000000000e+00      -4.798698547668e+01       7.349448954580e-08       2.501028227313e-04      -1.631135012247e-06 
  152       4.675691750603e+03       1.104921290280e+00       0.000000000000e+00      -4.798986729290e+01       7.305134302245e-08       2.481267294764e-04      -1.615450966952e-06 
  153       4.709665315896e+03       1.098762246657e+00       0.000000000000e+00      -4.796728141477e+01       7.261421635012e-08       2.461769061659e-04      -1.599517994408e-06 
  154       4.743412319188e+03       1.092180901005e+00       0.000000000000e+00      -4.791892981637e+01       7.218313761552e-08       2.442522812604e-04      -1.583317073918e-06 
  155       4.776921933862e+03       1.085189259148e+00       0.000000000000e+00      -4.784452733074e+01       7.175792904504e-08       2.423513162601e-04      -1.566826302061e-06 
  156       4.810182998496e+03       1.077800182722e+00       0.000000000000e+00      -4.774380196407e+01       7.133819157647e-08       2.404719842828e-04      -1.550020769125e-06 
  157       4.843184010761e+03       1.070027402695e+00       0.000000000000e+00      -4.761649520989e+01       7.092328894439e-08       2.386117483147e-04      -1.532872433688e-06 
  158       4.875913121315e+03       1.061885532895e+00       0.000000000000e+00      -4.746236236320e+01       7.051233127296e-08       2.367675391366e-04      -1.515349995347e-06 
  159       4.908358127704e+03       1.053390083526e+00       0.000000000000e+00      -4.728117283474e+01       7.010415817011e-08       2.349357329238e-04      -1.497418765599e-06 
  160       4.940506468258e+03       1.044557474701e+00       0.000000000000e+00      -4.707271046509e+01       6.969732131685e-08       2.331121285193e-04      -1.479040536863e-06 
  161       4.972346070067e+03       1.035404667451e+00       0.000000000000e+00      -4.683677244577e+01       6.929054213307e-08       2.312931317132e-04      -1.460184255480e-06 
  162       5.003867990018e+03       1.025947991721e+00       0.000000000000e+00      -4.657316531561e+01       6.888421521493e-08       2.294795343908e-04      -1.440859920314e-06 
  163       5.035063996736e+03       1.016204240099e+00       0.000000000000e+00      -4.628170920914e+01       6.847913504112e-08       2.276731923125e-04      -1.421088923918e-06 
  164       5.065925735355e+03       1.006191052665e+00       0.000000000000e+00      -4.596223952316e+01       6.807603747493e-08       2.258758549253e-04      -1.400893655840e-06 
  165       5.096444725338e+03       9.959269287558e-01       0.000000000000e+00      -4.561460722454e+01       6.767559352371e-08       2.240891580842e-04      -1.380297515226e-06 
  166       5.126612358308e+03       9.854312387313e-01       0.000000000000e+00      -4.523867915797e+01       6.727840289032e-08       2.223146166544e-04      -1.359324923430e-06 
  167       5.156419895872e+03       9.747242357347e-01       0.000000000000e+00      -4.483433835375e+01       6.688498731411e-08       2.205536169928e-04      -1.338001336611e-06 
  168       5.185858467450e+03       9.638270674573e-01       0.000000000000e+00      -4.440148433558e+01       6.649578369865e-08       2.188074093117e-04      -1.316353258329e-06 
  169       5.214919068098e+03       9.527617879017e-01       0.000000000000e+00      -4.394003342827e+01       6.611113702363e-08       2.170770999213e-04      -1.294408252139e-06 
