# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_m                    8:d_tot                  9:phi                   10:psi                
       5.847947889969e-03      -9.999966821350e-01      -3.714315200837e+00      -3.760141695306e+00       0.000000000000e+00      -9.044843919849e-01      -3.753114302708e+00      -3.671706356980e+00       5.351835634682e-01       5.362628721864e-01 
       5.968764019274e-03      -9.646137551540e-01      -3.856415133573e+00      -3.906067729213e+00       0.000000000000e+00      -8.750892320743e-01      -3.898430677815e+00      -3.811838296416e+00       5.330456837026e-01       5.342743384931e-01 
       6.089723815788e-03      -9.279946030368e-01      -4.000680462905e+00      -4.054393085709e+00       0.000000000000e+00      -8.454108832024e-01      -4.046108208831e+00      -3.954238158423e+00       5.309204651383e-01       5.322790992338e-01 
       6.210819824242e-03      -8.904685192430e-01      -4.147069259450e+00      -4.205086354827e+00       0.000000000000e+00      -8.157541762278e-01      -4.196113773492e+00      -4.098883018119e+00       5.288091176762e-01       5.302787615955e-01 
       6.332045128346e-03      -8.523686080112e-01      -4.295542348464e+00      -4.358116483066e+00       0.000000000000e+00      -7.864165361448e-01      -4.348414962578e+00      -4.245750657009e+00       5.267127348211e-01       5.282749021259e-01 
       6.453393305777e-03      -8.140283600010e-01      -4.446054408272e+00      -4.513448002741e+00       0.000000000000e+00      -7.576851602779e-01      -4.502974693368e+00      -4.394814179304e+00       5.246316711946e-01       5.262684433001e-01 
       6.574858387503e-03      -7.757801889803e-01      -4.598566560273e+00      -4.671050675645e+00       0.000000000000e+00      -7.298329069692e-01      -4.659761293830e+00      -4.546051772495e+00       5.225667752845e-01       5.242608791391e-01 
       6.696434820962e-03      -7.379512643280e-01      -4.753036343340e+00      -4.830892972235e+00       0.000000000000e+00      -7.031162958718e-01      -4.818741449560e+00      -4.699439721135e+00       5.205185265307e-01       5.222534065993e-01 
       6.818117436700e-03      -7.008603450245e-01      -4.909423378695e+00      -4.992942429971e+00       0.000000000000e+00      -6.777725616965e-01      -4.979881373731e+00      -4.854953512434e+00       5.184871987755e-01       5.202470791783e-01 
       6.939901418110e-03      -6.648159545177e-01      -5.067689357374e+00      -5.157171098983e+00       0.000000000000e+00      -6.540175088687e-01      -5.143151416526e+00      -5.012572196432e+00       5.164733437695e-01       5.182432878424e-01 
       7.061782273950e-03      -6.301119162103e-01      -5.227790241584e+00      -5.323546189836e+00       0.000000000000e+00      -6.320432853938e-01      -5.308516950206e+00      -5.172269449839e+00       5.144768474504e-01       5.162428081472e-01 
       7.183755813359e-03      -5.970262443129e-01      -5.389688348524e+00      -5.492038685900e+00       0.000000000000e+00      -6.120166871120e-01      -5.475947516476e+00      -5.334022453679e+00       5.124978806481e-01       5.142467417516e-01 
       7.305818123115e-03      -5.658179452505e-01      -5.553344792407e+00      -5.662619005684e+00       0.000000000000e+00      -5.940777162516e-01      -5.645411994722e+00      -5.497807095562e+00       5.105364074778e-01       5.122560196676e-01 
       7.427965546914e-03      -5.367248931581e-01      -5.718720462230e+00      -5.835258929612e+00       0.000000000000e+00      -5.783385936334e-01      -5.816880378740e+00      -5.663599641088e+00       5.085923642024e-01       5.102715740228e-01 
       7.550194666473e-03      -5.099618263311e-01      -5.885777128694e+00      -6.009928914904e+00       0.000000000000e+00      -5.648826672236e-01      -5.990321681871e+00      -5.831374684388e+00       5.066654786401e-01       5.082941476746e-01 
       7.672502284270e-03      -4.857177010894e-01      -6.054470163271e+00      -6.186599533596e+00       0.000000000000e+00      -5.537641931250e-01      -6.165704014717e+00      -6.001105105231e+00       5.047553037729e-01       5.063243259966e-01 
       7.794885407769e-03      -4.641562455188e-01      -6.224766652497e+00      -6.365243793352e+00       0.000000000000e+00      -5.450083824605e-01      -6.342999370701e+00      -6.172766852822e+00       5.028616192860e-01       5.043629213985e-01 
       7.917341234986e-03      -4.454127798806e-01      -6.396628857056e+00      -6.545834702765e+00       0.000000000000e+00      -5.386116131766e-01      -6.522178992203e+00      -6.346334278731e+00       5.009840394981e-01       5.024105830526e-01 
