# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.062583247129e-02       1.980922543680e+05       1.897852678477e+05       1.204556146011e+04       1.304736377158e+04       0.000000000000e+00       1.913867651279e+05 
       1.074948201654e-02       1.974192698144e+05       1.889402262951e+05       1.216801137022e+04       1.284630238181e+04       0.000000000000e+00       1.907055450216e+05 
       1.087317135149e-02       1.967476608402e+05       1.880954148464e+05       1.226596711758e+04       1.262401449323e+04       0.000000000000e+00       1.900248066902e+05 
       1.099689996454e-02       1.960774697311e+05       1.872509541442e+05       1.233690003643e+04       1.238096964244e+04       0.000000000000e+00       1.893445659321e+05 
       1.112066738603e-02       1.954087198563e+05       1.864068245622e+05       1.237881442867e+04       1.211802347310e+04       0.000000000000e+00       1.886648145164e+05 
       1.124447318649e-02       1.947414321670e+05       1.855630424637e+05       1.239015307891e+04       1.183632346981e+04       0.000000000000e+00       1.879855589642e+05 
       1.136831697505e-02       1.940756512403e+05       1.847198128967e+05       1.236984751876e+04       1.153733135124e+04       0.000000000000e+00       1.873068671754e+05 
       1.149219839782e-02       1.934113831574e+05       1.838770365073e+05       1.231732432012e+04       1.122277409170e+04       0.000000000000e+00       1.866287388613e+05 
       1.161611713657e-02       1.927486672930e+05       1.830348918443e+05       1.223237990369e+04       1.089455809103e+04       0.000000000000e+00       1.859512535583e+05 
       1.174007290735e-02       1.920874847413e+05       1.821932372619e+05       1.211521254377e+04       1.055475334920e+04       0.000000000000e+00       1.852744012402e+05 
       1.186406545928e-02       1.914278977488e+05       1.813523439009e+05       1.196644789136e+04       1.020559831409e+04       0.000000000000e+00       1.845983129205e+05 
       1.198809457340e-02       1.907698791781e+05       1.805120413186e+05       1.178705718146e+04       9.849403923081e+03       0.000000000000e+00       1.839229833967e+05 
       1.211216006162e-02       1.901134533930e+05       1.796724285411e+05       1.157826095548e+04       9.488515318967e+03       0.000000000000e+00       1.832484969351e+05 
       1.223626176571e-02       1.894586419110e+05       1.788336308269e+05       1.134160067395e+04       9.125313228229e+03       0.000000000000e+00       1.825749455981e+05 
       1.236039955642e-02       1.888054287563e+05       1.779955336701e+05       1.107893670136e+04       8.762178854196e+03       0.000000000000e+00       1.819023582344e+05 
       1.248457333258e-02       1.881538476423e+05       1.771583054629e+05       1.079231837583e+04       8.401436041353e+03       0.000000000000e+00       1.812308517138e+05 
       1.260878302035e-02       1.875038817910e+05       1.763218745779e+05       1.048393235730e+04       8.045316523194e+03       0.000000000000e+00       1.805604648984e+05 
       1.273302857247e-02       1.868555361800e+05       1.754862905883e+05       1.015615697730e+04       7.695964443024e+03       0.000000000000e+00       1.798912758886e+05 
       1.285730996757e-02       1.862088704535e+05       1.746517667471e+05       9.811563526163e+03       7.355408730253e+03       0.000000000000e+00       1.792234352060e+05 
       1.298162720958e-02       1.855637945378e+05       1.738180050700e+05       9.452742572459e+03       7.025509692825e+03       0.000000000000e+00       1.785568886359e+05 
