# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  141       4.289514762072e+03       1.160000547618e+00       6.110585326616e-03      -4.679649365585e+01       7.815153049086e-08       2.704889918313e-04      -1.756950832444e-06 
  142       4.325208078517e+03       1.159103647404e+00       6.203934496217e-03      -4.703217843940e+01       7.766443574658e-08       2.682927906685e-04      -1.745429094207e-06 
  143       4.360784096533e+03       1.157703752786e+00       6.298202645930e-03      -4.724591140349e+01       7.718300842429e-08       2.661353927803e-04      -1.733891886213e-06 
  144       4.396233327061e+03       1.155804602140e+00       6.393394923487e-03      -4.743727879312e+01       7.670781567985e-08       2.640156116525e-04      -1.722286996617e-06 
  145       4.431545882302e+03       1.153410653822e+00       6.489516442230e-03      -4.760587636166e+01       7.623920925725e-08       2.619316032838e-04      -1.710555390729e-06 
  146       4.466711467210e+03       1.150527099886e+00       6.586572279303e-03      -4.775130968109e+01       7.577730644542e-08       2.598808337363e-04      -1.698630926733e-06 
  147       4.501719370977e+03       1.147159879807e+00       6.684567473850e-03      -4.787319445233e+01       7.532197037241e-08       2.578600461572e-04      -1.686440067063e-06 
  148       4.536558458528e+03       1.143315694198e+00       6.783507025208e-03      -4.797115681553e+01       7.487278962787e-08       2.558652272723e-04      -1.673901585449e-06 
  149       4.571217162009e+03       1.139002018536e+00       6.883395891104e-03      -4.804483366037e+01       7.442905720473e-08       2.538915733511e-04      -1.660926269625e-06 
  150       4.605683472280e+03       1.134227116878e+00       6.984238985848e-03      -4.809387293637e+01       7.398974875099e-08       2.519334556429e-04      -1.647416619701e-06 
  151       4.639944930401e+03       1.129000055583e+00       7.086041178533e-03      -4.811793396320e+01       7.355350012245e-08       2.499843852858e-04      -1.633266542202e-06 
  152       4.673988619129e+03       1.123330717034e+00       7.188807291227e-03      -4.811668774093e+01       7.311858422751e-08       2.480369776856e-04      -1.618361039765e-06 
  153       4.707802093351e+03       1.117229671567e+00       7.292541757347e-03      -4.808981866771e+01       7.268346222275e-08       2.460849103927e-04      -1.602603576495e-06 
  154       4.741376286619e+03       1.110707750990e+00       7.397247564858e-03      -4.803702921917e+01       7.224860518016e-08       2.441291823098e-04      -1.586003155062e-06 
  155       4.774702859774e+03       1.103776461405e+00       7.502927210958e-03      -4.795803629752e+01       7.181496341838e-08       2.421726573736e-04      -1.568598768204e-06 
  156       4.807773282581e+03       1.096448134325e+00       7.609583029572e-03      -4.785257017817e+01       7.138341278086e-08       2.402181405909e-04      -1.550432887455e-06 
  157       4.840578829999e+03       1.088735939672e+00       7.717217187813e-03      -4.772037482717e+01       7.095474630336e-08       2.382683710362e-04      -1.531551565111e-06 
  158       4.873110578456e+03       1.080653898778e+00       7.825831682445e-03      -4.756120821871e+01       7.052966558943e-08       2.363260147190e-04      -1.512004537369e-06 
  159       4.905359402118e+03       1.072216897383e+00       7.935428336355e-03      -4.737484265255e+01       7.010877189014e-08       2.343936573182e-04      -1.491845328638e-06 
  160       4.937315969165e+03       1.063440698630e+00       8.046008795008e-03      -4.716106507150e+01       6.969255688393e-08       2.324737967861e-04      -1.471131357030e-06 
  161       4.968970738061e+03       1.054341956070e+00       8.157574522921e-03      -4.691967737892e+01       6.928139315305e-08       2.305688358202e-04      -1.449924041019e-06 
  162       5.000313953829e+03       1.044938226655e+00       8.270126800121e-03      -4.665049675613e+01       6.887552435240e-08       2.286810742042e-04      -1.428288907277e-06 
  163       5.031335644322e+03       1.035247983737e+00       8.383666718614e-03      -4.635335597994e+01       6.847505506717e-08       2.268127010168e-04      -1.406295699692e-06 
  164       5.062025616493e+03       1.025290630072e+00       8.498195178846e-03      -4.602810374008e+01       6.807994035523e-08       2.249657867095e-04      -1.384018489546e-06 
  165       5.092373452674e+03       1.015086510811e+00       8.613712886172e-03      -4.567460495666e+01       6.768997497048e-08       2.231422750531e-04      -1.361535786882e-06 
  166       5.122368506842e+03       1.004656926505e+00       8.730220347317e-03      -4.529274109766e+01       6.730478226329e-08       2.213439749521e-04      -1.338930653037e-06 
  167       5.151999900895e+03       9.940241460987e-01       8.847717866843e-03      -4.488241049641e+01       6.692380275417e-08       2.195725521280e-04      -1.316290814352e-06 
  168       5.181256520923e+03       9.832114199330e-01       8.966205543612e-03      -4.444352866902e+01       6.654628237678e-08       2.178295206712e-04      -1.293708777058e-06 
  169       5.210127013482e+03       9.722429927407e-01       9.085683267254e-03      -4.397602863188e+01       6.617126038643e-08       2.161162344616e-04      -1.271281943336e-06 
